t,solve_time,solver_success,solver_status,number_of_config_obstacles,active_obstacles,active_edges,binary_variables,total_binary_variables
5.00003807246685e-07,0.006298399996012449,1,MIQP_OPTIMAL,100,1,4,120,480
0.0733020999468863,0.005183700006455183,1,MIQP_OPTIMAL,100,1,4,120,480
0.17325150000397116,0.0058935999404639006,1,MIQP_OPTIMAL,100,1,4,120,480
0.27329839998856187,0.004941100021824241,1,MIQP_OPTIMAL,100,1,4,120,480
0.3742801999906078,0.005302299978211522,1,MIQP_OPTIMAL,100,1,4,120,480
0.47335169999860227,0.005613000015728176,1,MIQP_OPTIMAL,100,1,4,120,480
0.5733921999344602,0.005345900077372789,1,MIQP_OPTIMAL,100,1,4,120,480
0.6735233999788761,0.005364299984648824,1,MIQP_OPTIMAL,100,1,4,120,480
0.7735668999375775,0.007244699983857572,1,MIQP_OPTIMAL,100,1,4,120,480
0.8734879000112414,0.005357900052331388,1,MIQP_OPTIMAL,100,1,4,120,480
0.9734334000386298,0.00600520009174943,1,MIQP_OPTIMAL,100,1,4,120,480
1.073590400046669,0.0065620000241324306,1,MIQP_OPTIMAL,100,2,8,240,480
1.173384299967438,0.006336500053294003,1,MIQP_OPTIMAL,100,2,8,240,480
1.2734194999793544,0.010208799969404936,1,MIQP_OPTIMAL,100,2,8,240,480
1.3735970000270754,0.007464399910531938,1,MIQP_OPTIMAL,100,2,8,240,480
1.506809400045313,0.0058614000445231795,1,MIQP_OPTIMAL,100,2,8,240,480
1.607741600018926,0.0066998000256717205,1,MIQP_OPTIMAL,100,2,8,240,480
1.7403092000167817,0.009570299996994436,1,MIQP_OPTIMAL,100,2,8,240,480
1.8806602000258863,0.006375099997967482,1,MIQP_OPTIMAL,100,2,8,240,480
1.9743995999451727,0.005284400074742734,1,MIQP_OPTIMAL,100,2,8,240,480
2.0734514000359923,0.005850400077179074,1,MIQP_OPTIMAL,100,2,8,240,480
2.173318399931304,0.006960100028663874,1,MIQP_OPTIMAL,100,3,12,360,480
2.273275699932128,0.005823300103656948,1,MIQP_OPTIMAL,100,3,12,360,480
2.3739254999672994,0.0056316000409424305,1,MIQP_OPTIMAL,100,3,12,360,480
2.4732985999435186,0.006056600017473102,1,MIQP_OPTIMAL,100,3,12,360,480
2.574041199986823,0.005411799997091293,1,MIQP_OPTIMAL,100,3,12,360,480
2.673683200031519,0.004954600008204579,1,MIQP_OPTIMAL,100,3,12,360,480
2.7733305000001565,0.00886579998768866,1,MIQP_OPTIMAL,100,3,12,360,480
2.8734089999925345,0.017579699982888997,1,MIQP_OPTIMAL,100,3,12,360,480
2.9732931000180542,0.017513499944470823,1,MIQP_OPTIMAL,100,3,12,360,480
3.1065960000269115,0.017609799979254603,1,MIQP_OPTIMAL,100,3,12,360,480
3.2066807999508455,0.01630390004720539,1,MIQP_OPTIMAL,100,3,12,360,480
3.306526300031692,0.02159130002837628,1,MIQP_OPTIMAL,100,3,12,360,480
3.4067661999724805,0.021900500054471195,1,MIQP_OPTIMAL,100,3,12,360,480
3.5069303000345826,0.03982810000889003,1,MIQP_OPTIMAL,100,4,16,480,480
3.6734786999877542,0.03529909998178482,1,MIQP_OPTIMAL,100,4,16,480,480
3.8067684000125155,0.01882210001349449,1,MIQP_OPTIMAL,100,4,16,480,480
3.906785099999979,0.01890230004210025,1,MIQP_OPTIMAL,100,4,16,480,480
4.006806300021708,0.01963290001731366,1,MIQP_OPTIMAL,100,4,16,480,480
4.106736399931833,0.01830540003720671,1,MIQP_OPTIMAL,100,4,16,480,480
4.2073848999571055,0.02577379997819662,1,MIQP_OPTIMAL,100,4,16,480,480
4.340571200009435,0.023079700069501996,1,MIQP_OPTIMAL,100,4,16,480,480
4.4399476000107825,0.05610230006277561,1,MIQP_OPTIMAL,100,4,16,480,480
4.5733703000005335,0.06761389994062483,1,MIQP_OPTIMAL,100,3,12,360,480
4.740120399976149,0.1050686000380665,1,MIQP_OPTIMAL,100,3,12,360,480
4.940902599948458,0.04629979992751032,1,MIQP_OPTIMAL,100,3,12,360,480
5.0736678999383,0.029347999952733517,1,MIQP_OPTIMAL,100,3,12,360,480
5.208041399950162,0.02415890002157539,1,MIQP_OPTIMAL,100,3,12,360,480
5.339889899943955,0.018726499984040856,1,MIQP_OPTIMAL,100,3,12,360,480
5.473326600040309,0.018169099930673838,1,MIQP_OPTIMAL,100,3,12,360,480
5.5738177000312135,0.01929789991118014,1,MIQP_OPTIMAL,100,3,12,360,480
5.673494699993171,0.03487390000373125,1,MIQP_OPTIMAL,100,3,12,360,480
5.806650400045328,0.019205800024792552,1,MIQP_OPTIMAL,100,2,8,240,480
5.906638399930671,0.03964159998577088,1,MIQP_OPTIMAL,100,2,8,240,480
6.04011449997779,0.05227540002670139,1,MIQP_OPTIMAL,100,3,12,360,480
6.173395799938589,0.07476210000459105,1,MIQP_OPTIMAL,100,3,12,360,480
6.340639299945906,0.10286350001115352,1,MIQP_OPTIMAL,100,3,12,360,480
6.54117620002944,0.10990809998475015,1,MIQP_OPTIMAL,100,3,12,360,480
6.773465899983421,0.08945410000160336,1,MIQP_OPTIMAL,100,4,16,480,480
6.940135200042278,0.0545008999761194,1,MIQP_OPTIMAL,100,4,16,480,480
7.073811399983242,0.06971900002099574,1,MIQP_OPTIMAL,100,4,16,480,480
7.24011909996625,0.012305299984291196,1,MIQP_OPTIMAL,100,3,12,360,480
7.340030099963769,0.014995800098404288,1,MIQP_OPTIMAL,100,4,16,480,480
7.440173399983905,0.014400899992324412,1,MIQP_OPTIMAL,100,4,16,480,480
7.540191299980506,0.012992599979043007,1,MIQP_OPTIMAL,100,4,16,480,480
7.640260300016962,0.012682900065556169,1,MIQP_OPTIMAL,100,4,16,480,480
7.740924300043844,0.013232700061053038,1,MIQP_OPTIMAL,100,4,16,480,480
7.840378999942914,0.013550600036978722,1,MIQP_OPTIMAL,100,4,16,480,480
7.939914799993858,0.013212200021371245,1,MIQP_OPTIMAL,100,4,16,480,480
8.040149500011466,0.013683299999684095,1,MIQP_OPTIMAL,100,4,16,480,480
8.14024670002982,0.012920700013637543,1,MIQP_OPTIMAL,100,4,16,480,480
8.239896000013687,0.012629400007426739,1,MIQP_OPTIMAL,100,3,12,360,480
8.339888699934818,0.011555399978533387,1,MIQP_OPTIMAL,100,3,12,360,480
8.439936500042677,0.010533799999393523,1,MIQP_OPTIMAL,100,3,12,360,480
8.540192099986598,0.016627400065772235,1,MIQP_OPTIMAL,100,4,16,480,480
8.639897899935022,0.014307300094515085,1,MIQP_OPTIMAL,100,4,16,480,480
8.740194399957545,0.013520700042136014,1,MIQP_OPTIMAL,100,4,16,480,480
8.840028499951586,0.015590599970892072,1,MIQP_OPTIMAL,100,4,16,480,480
8.940210000029765,0.02336899994406849,1,MIQP_OPTIMAL,100,3,12,360,480
9.04013280000072,0.02250409999396652,1,MIQP_OPTIMAL,100,3,12,360,480
9.140154000022449,0.020203900057822466,1,MIQP_OPTIMAL,100,3,12,360,480
9.240115799941123,0.029074199963361025,1,MIQP_OPTIMAL,100,3,12,360,480
9.373327199951746,0.021487400052137673,1,MIQP_OPTIMAL,100,3,12,360,480
9.473745699971914,0.02208009990863502,1,MIQP_OPTIMAL,100,3,12,360,480
9.573533999966457,0.050431699957698584,1,MIQP_OPTIMAL,100,4,16,480,480
9.706895899958909,0.06443359993863851,1,MIQP_OPTIMAL,100,4,16,480,480
9.840073799947277,0.07182929990813136,1,MIQP_OPTIMAL,100,3,12,360,480
10.006802199990489,0.044920300017111,1,MIQP_OPTIMAL,100,3,12,360,480
10.140246100025252,0.014928899938240647,1,MIQP_OPTIMAL,100,3,12,360,480
10.239967399975285,0.01787689991760999,1,MIQP_OPTIMAL,100,3,12,360,480
10.340041899937205,0.016145500005222857,1,MIQP_OPTIMAL,100,2,8,240,480
10.440693799988367,0.013477900065481663,1,MIQP_OPTIMAL,100,2,8,240,480
10.540043400018476,0.013120900024659932,1,MIQP_OPTIMAL,100,2,8,240,480
10.640251699951477,0.013098100083880126,1,MIQP_OPTIMAL,100,2,8,240,480
10.740271699964069,0.01183209998998791,1,MIQP_OPTIMAL,100,2,8,240,480
10.840009200037457,0.02654130000155419,1,MIQP_OPTIMAL,100,3,12,360,480
10.940239500021562,0.013686200021766126,1,MIQP_OPTIMAL,100,3,12,360,480
11.040391499991529,0.014422600041143596,1,MIQP_OPTIMAL,100,3,12,360,480
11.140286499983631,0.013552299933508039,1,MIQP_OPTIMAL,100,3,12,360,480
11.240044199978001,0.013222199981100857,1,MIQP_OPTIMAL,100,3,12,360,480
11.340941800037399,0.012010099948383868,1,MIQP_OPTIMAL,100,3,12,360,480
11.440160600002855,0.01387519994750619,1,MIQP_OPTIMAL,100,3,12,360,480
11.540063799940981,0.013398900046013296,1,MIQP_OPTIMAL,100,3,12,360,480
11.640175299951807,0.014808699954301119,1,MIQP_OPTIMAL,100,3,12,360,480
11.740040799952112,0.015033300034701824,1,MIQP_OPTIMAL,100,3,12,360,480
11.839956699986942,0.014559000032022595,1,MIQP_OPTIMAL,100,3,12,360,480
11.94017580000218,0.014629499986767769,1,MIQP_OPTIMAL,100,3,12,360,480
12.039985100040212,0.013191900099627674,1,MIQP_OPTIMAL,100,3,12,360,480
12.140106600010768,0.013963099918328226,1,MIQP_OPTIMAL,100,3,12,360,480
12.240056799957529,0.01448580005671829,1,MIQP_OPTIMAL,100,3,12,360,480
12.340237600030378,0.04121039994060993,1,MIQP_OPTIMAL,100,3,12,360,480
12.473700899980031,0.02914579992648214,1,MIQP_OPTIMAL,100,3,12,360,480
12.60680249996949,0.0339129000203684,1,MIQP_OPTIMAL,100,3,12,360,480
12.740159600041807,0.04502610000781715,1,MIQP_OPTIMAL,100,3,12,360,480
12.873516699997708,0.04203730006702244,1,MIQP_OPTIMAL,100,3,12,360,480
13.006864399998449,0.05958990007638931,1,MIQP_OPTIMAL,100,4,16,480,480
13.173427299945615,0.07235439994838089,1,MIQP_OPTIMAL,100,3,12,360,480
13.340077599976212,0.04526929999701679,1,MIQP_OPTIMAL,100,3,12,360,480
13.473662400036119,0.04485209996346384,1,MIQP_OPTIMAL,100,3,12,360,480
13.606755599961616,0.07338640000671148,1,MIQP_OPTIMAL,100,2,8,240,480
13.773927300004289,0.05217190005350858,1,MIQP_OPTIMAL,100,2,8,240,480
13.906598099973053,0.059269499965012074,1,MIQP_OPTIMAL,100,2,8,240,480
14.04013560002204,0.07828259991947562,1,MIQP_OPTIMAL,100,3,12,360,480
14.240361799951643,0.01628539990633726,1,MIQP_OPTIMAL,100,2,8,240,480
14.340052900020964,0.018788499990478158,1,MIQP_OPTIMAL,100,2,8,240,480
14.43998779996764,0.010324100032448769,1,MIQP_OPTIMAL,100,2,8,240,480
