segment,control_point,X,Y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.007425185828219327e-01,1.604480695270277366e-04
0.000000000000000000e+00,3.000000000000000000e+00,-1.741499580142537251e+00,-5.516103522730786413e-02
0.000000000000000000e+00,4.000000000000000000e+00,-2.098990540793772563e+00,-3.970776159670630356e-02
0.000000000000000000e+00,5.000000000000000000e+00,-2.500000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,-2.500000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-2.901009459206227437e+00,3.970776159670630356e-02
1.000000000000000000e+00,2.000000000000000000e+00,-3.345537416967446998e+00,1.036700111595173501e-01
1.000000000000000000e+00,3.000000000000000000e+00,-3.321247075143246352e+00,3.929496307544924627e-02
1.000000000000000000e+00,4.000000000000000000e+00,-3.672121246664027172e+00,1.383228271257412323e-01
1.000000000000000000e+00,5.000000000000000000e+00,-4.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000000e+00,1.000000000000000000e+00,-4.163939376667986636e+00,3.808385864371293672e-01
2.000000000000000000e+00,2.000000000000000000e+00,-4.322129898789770941e+00,4.773395000802504451e-01
2.000000000000000000e+00,3.000000000000000000e+00,-4.592262723733920637e+00,6.453360135317306456e-01
2.000000000000000000e+00,4.000000000000000000e+00,-4.714752878412611814e+00,8.121351020373035468e-01
2.000000000000000000e+00,5.000000000000000000e+00,-4.799999999999999822e+00,1.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,-4.799999999999999822e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,-4.885247121587387831e+00,1.187864897962696453e+00
3.000000000000000000e+00,2.000000000000000000e+00,-4.933251210083472671e+00,1.396795605382516348e+00
3.000000000000000000e+00,3.000000000000000000e+00,-4.922954280682059647e+00,1.596628280388127763e+00
3.000000000000000000e+00,4.000000000000000000e+00,-4.881564031248204927e+00,1.803087009558761222e+00
3.000000000000000000e+00,5.000000000000000000e+00,-4.799999999999999822e+00,2.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,-4.799999999999999822e+00,2.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,-4.718435968751794718e+00,2.196912990441238556e+00
4.000000000000000000e+00,2.000000000000000000e+00,-4.596698155689239229e+00,2.384280242153082430e+00
4.000000000000000000e+00,3.000000000000000000e+00,-4.419455715930702411e+00,2.515558637464079261e+00
4.000000000000000000e+00,4.000000000000000000e+00,-4.222999861111203401e+00,2.668786134895955175e+00
4.000000000000000000e+00,5.000000000000000000e+00,-4.000000000000000000e+00,2.799999999999999822e+00
5.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+00,2.799999999999999822e+00
5.000000000000000000e+00,1.000000000000000000e+00,-3.777000138888796599e+00,2.931213865104044469e+00
5.000000000000000000e+00,2.000000000000000000e+00,-3.527456271485888806e+00,3.040414097880257849e+00
5.000000000000000000e+00,3.000000000000000000e+00,-3.198390681006764158e+00,3.065832253879919644e+00
5.000000000000000000e+00,4.000000000000000000e+00,-2.900649654663831178e+00,3.138639727500828425e+00
5.000000000000000000e+00,5.000000000000000000e+00,-2.600000000000000089e+00,3.200000000000000178e+00
6.000000000000000000e+00,0.000000000000000000e+00,-2.600000000000000089e+00,3.200000000000000178e+00
6.000000000000000000e+00,1.000000000000000000e+00,-2.299350345336168999e+00,3.261360272499171931e+00
6.000000000000000000e+00,2.000000000000000000e+00,-1.995792062351439800e+00,3.311273343876606656e+00
6.000000000000000000e+00,3.000000000000000000e+00,-1.538948787828739118e+00,3.398609288025248976e+00
6.000000000000000000e+00,4.000000000000000000e+00,-1.263050028706028005e+00,3.409610934580417752e+00
6.000000000000000000e+00,5.000000000000000000e+00,-1.000000000000000000e+00,3.399999999999999911e+00
7.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,3.399999999999999911e+00
7.000000000000000000e+00,1.000000000000000000e+00,-7.369499712939721059e-01,3.390389065419582071e+00
7.000000000000000000e+00,2.000000000000000000e+00,-4.867486730046273746e-01,3.360165549703577614e+00
7.000000000000000000e+00,3.000000000000000000e+00,-3.759438893630538958e-01,3.403376630038502437e+00
7.000000000000000000e+00,4.000000000000000000e+00,-1.746085654673621979e-01,3.316934085870845372e+00
7.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000178e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000178e+00
8.000000000000000000e+00,1.000000000000000000e+00,1.746085654673621979e-01,3.083065914129154983e+00
8.000000000000000000e+00,2.000000000000000000e+00,3.224903725063948956e-01,2.935640286555121659e+00
8.000000000000000000e+00,3.000000000000000000e+00,5.730806404346886485e-01,2.739951572400061597e+00
8.000000000000000000e+00,4.000000000000000000e+00,6.218067318828134349e-01,2.520226610812218659e+00
8.000000000000000000e+00,5.000000000000000000e+00,5.999999999999999778e-01,2.299999999999999822e+00
9.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,2.299999999999999822e+00
9.000000000000000000e+00,1.000000000000000000e+00,5.781932681171865207e-01,2.079773389187780985e+00
9.000000000000000000e+00,2.000000000000000000e+00,4.858537129034348756e-01,1.859045129151186249e+00
9.000000000000000000e+00,3.000000000000000000e+00,3.041081288272273753e-01,1.685934132957172649e+00
9.000000000000000000e+00,4.000000000000000000e+00,6.155702929682022040e-02,1.565943125267024394e+00
9.000000000000000000e+00,5.000000000000000000e+00,-2.000000000000000111e-01,1.500000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,-2.000000000000000111e-01,1.500000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,-5.487427057290936716e-01,1.412075832977300660e+00
1.000000000000000000e+01,2.000000000000000000e+00,-9.312737310429217708e-01,1.420236790262377147e+00
1.000000000000000000e+01,3.000000000000000000e+00,-1.491101190674879895e+00,2.114772175060941173e+00
1.000000000000000000e+01,4.000000000000000000e+00,-1.854700181340826148e+00,2.141043691318309072e+00
1.000000000000000000e+01,5.000000000000000000e+00,-2.200000000000000178e+00,2.100000000000000089e+00
1.100000000000000000e+01,0.000000000000000000e+00,-2.200000000000000178e+00,2.100000000000000089e+00
1.100000000000000000e+01,1.000000000000000000e+00,-2.545299818659174207e+00,2.058956308681691105e+00
1.100000000000000000e+01,2.000000000000000000e+00,-2.872300465311576012e+00,1.950597409787705461e+00
1.100000000000000000e+01,3.000000000000000000e+00,-3.279999999999999805e+00,1.960220180223228192e+00
1.100000000000000000e+01,4.000000000000000000e+00,-3.399999999999999911e+00,1.677848879788995884e+00
1.100000000000000000e+01,5.000000000000000000e+00,-3.399999999999999911e+00,1.399999999999999911e+00
1.200000000000000000e+01,0.000000000000000000e+00,-3.399999999999999911e+00,1.399999999999999911e+00
1.200000000000000000e+01,1.000000000000000000e+00,-3.399999999999999911e+00,1.122151120211003938e+00
1.200000000000000000e+01,2.000000000000000000e+00,-3.279999999999999805e+00,8.488246610672443015e-01
1.200000000000000000e+01,3.000000000000000000e+00,-2.797726542913653081e+00,8.611534263220004259e-01
1.200000000000000000e+01,4.000000000000000000e+00,-2.506700020717454791e+00,7.547654140246906618e-01
1.200000000000000000e+01,5.000000000000000000e+00,-2.200000000000000178e+00,6.999999999999999556e-01
1.300000000000000000e+01,0.000000000000000000e+00,-2.200000000000000178e+00,6.999999999999999556e-01
1.300000000000000000e+01,1.000000000000000000e+00,-1.893299979282545564e+00,6.452345859753092494e-01
1.300000000000000000e+01,2.000000000000000000e+00,-1.570926460043834849e+00,6.420917702232376012e-01
1.300000000000000000e+01,3.000000000000000000e+00,-1.154299157097486539e+00,1.008730533355580050e+00
1.300000000000000000e+01,4.000000000000000000e+00,-8.274448784257603107e-01,1.028576096834192377e+00
1.300000000000000000e+01,5.000000000000000000e+00,-5.000000000000000000e-01,1.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,-5.000000000000000000e-01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,-2.544163411806797948e-01,9.785679273743557172e-01
