t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.140000000000000124e+00,0.000000000000000000e+00,5.235999999999999543e-01,2.554379328058940524e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.238722635173820696e-01,3.565512656156172105e-04,2.363044804346432493e+00
2.000000000000000042e-02,0.000000000000000000e+00,-4.899697390321788756e-05,-9.176419294506068765e-08,3.144967409738450570e+00,5.108758656117881082e-03,5.235999999999999543e-01,2.861743231889688488e-01,-5.108729564372805655e-03,-1.724078196088002398e-05,-2.865824696499157942e-01,-2.062780887450476122e-03,2.363044804346432493e+00
4.000000000000000083e-02,0.000000000000000000e+00,-2.125438449296343838e-04,-1.005094379173592162e-06,3.148738879926816114e+00,1.144697292755875347e-02,5.235999999999999543e-01,2.999999999999999889e-01,-1.144668063864308361e-02,-8.180196315867507427e-05,-3.467999536794164617e-01,-4.375722189614968116e-03,2.363044804346432493e+00
5.999999999999999778e-02,0.000000000000000000e+00,-5.147287145255071165e-04,-3.665213785859206929e-06,3.151693891618834176e+00,1.896529868507816630e-02,5.235999999999999543e-01,2.999999999999999889e-01,-1.896433113108740923e-02,-1.915697384676980921e-04,-4.045579506396086988e-01,-6.583673830112360750e-03,2.363044804346432493e+00
8.000000000000000167e-02,0.000000000000000000e+00,-9.786558893093708685e-04,-8.955349775508681694e-06,3.154066584721710420e+00,2.761497205323596923e-02,5.235999999999999543e-01,2.999999999999999889e-01,-2.761282365065688069e-02,-3.444583265469524703e-04,-4.598896955642177709e-01,-8.688036998177170803e-03,2.363044804346432493e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.626459175085525743e-03,-1.771729432165575154e-05,3.156009244364622823e+00,3.734784659229919979e-02,5.235999999999999543e-01,2.999999999999999889e-01,-3.734396550697705042e-02,-5.384099698401309487e-04,-5.128284234869682212e-01,-1.069021288304389944e-02,2.363044804346432493e+00
1.199999999999999956e-01,0.000000000000000000e+00,-2.479315170857530545e-03,-3.075196448455493617e-05,3.157625186804785766e+00,4.811641255026278402e-02,3.764401716415388677e-01,2.999999999999999889e-01,-4.811022871034804221e-02,-7.713949345756178572e-04,-5.634073694415853151e-01,-1.259160267394705650e-02,1.536601885608821050e+00
1.400000000000000133e-01,0.000000000000000000e+00,-3.557456562841689995e-03,-4.881996288687529630e-05,3.158986971256252829e+00,5.987380752143820623e-02,2.630437823445400669e-01,2.999999999999999889e-01,-5.986474997174442286e-02,-1.041411510766486297e-03,-6.116597684617940400e-01,-1.439360756012115182e-02,1.046776971959827884e+00
1.600000000000000033e-01,0.000000000000000000e+00,-4.880185418480544046e-03,-7.264213818939432160e-05,3.160147047223242911e+00,7.257382267694321987e-02,1.879392689427329677e-01,2.999999999999999889e-01,-7.256133070281525765e-02,-1.346486012210500226e-03,-6.576188555813189396e-01,-1.609762873080068657e-02,7.392953545611326005e-01
1.799999999999999933e-01,0.000000000000000000e+00,-6.465886480456356673e-03,-1.029001455666915478e-04,3.161144265384339125e+00,8.617090657459622327e-02,1.373835154384878965e-01,2.999999999999999889e-01,-8.615443701588411385e-02,-1.684672776490113433e-03,-7.013178658338855564e-01,-1.770506737522017579e-02,5.374321756374363934e-01
