segment,control_point,X,Y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.499999999999999944e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.874999999999999778e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.399999999999999911e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.600000000000000089e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,4.275000000000000355e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.000000000000000000e+00,4.725000000000000533e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.400000000000000355e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,6.599999999999999645e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,7.124999999999999112e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,8.849999999999999645e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
