t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.490631327160495512e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,0.000000000000000000e+00,1.719185524691358450e-05,0.000000000000000000e+00,0.000000000000000000e+00,3.490631327160495425e-03,0.000000000000000000e+00,3.645865432098765457e-01,3.490631327160495425e-03,0.000000000000000000e+00,3.646895679012346347e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,0.000000000000000000e+00,7.084751604938271810e-05,0.000000000000000000e+00,0.000000000000000000e+00,7.291730864197530984e-03,0.000000000000000000e+00,3.953253086419753481e-01,7.291730864197530984e-03,0.000000000000000000e+00,3.954276543209875872e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,0.000000000000000000e+00,1.640408249999999644e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.139713750000000136e-02,0.000000000000000000e+00,4.254500000000003279e-01,1.139713750000000136e-02,0.000000000000000000e+00,4.255516666666666614e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,0.000000000000000000e+00,2.997842172839505857e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.580073086419753539e-02,0.000000000000000000e+00,4.549646913580243091e-01,1.580073086419753539e-02,0.000000000000000000e+00,4.550656790123457363e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00,4.810291280864196768e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.049643132716049213e-02,0.000000000000000000e+00,4.838734567901231687e-01,2.049643132716049213e-02,0.000000000000000000e+00,4.839737654320986349e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,0.000000000000000000e+00,7.106663999999999082e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.547819999999999946e-02,0.000000000000000000e+00,5.121803703703708965e-01,2.547819999999999946e-02,0.000000000000000000e+00,5.122799999999999576e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,0.000000000000000000e+00,9.915266904320990324e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.074003873456791422e-02,0.000000000000000000e+00,5.398895061728399281e-01,3.074003873456791422e-02,0.000000000000000000e+00,5.399884567901235277e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,0.000000000000000000e+00,1.326380879012346034e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.627599012345679441e-02,0.000000000000000000e+00,5.670049382716042530e-01,3.627599012345679441e-02,0.000000000000000000e+00,5.671032098765432794e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,0.000000000000000000e+00,1.717940474999999668e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.208013749999999636e-02,0.000000000000000000e+00,5.935307407407399705e-01,4.208013749999999636e-02,0.000000000000000000e+00,5.936283333333333134e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,2.168858024691357970e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.814660493827160187e-02,0.000000000000000000e+00,6.194709876543216254e-01,4.814660493827160187e-02,0.000000000000000000e+00,6.195679012345678416e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,0.000000000000000000e+00,2.681727518827160556e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.446955725308642859e-02,0.000000000000000000e+00,6.448297530864199878e-01,5.446955725308642859e-02,0.000000000000000000e+00,6.449259876543209646e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,0.000000000000000000e+00,3.259084799999999171e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.104319999999999885e-02,0.000000000000000000e+00,6.696111111111107128e-01,6.104319999999999885e-02,0.000000000000000000e+00,6.697066666666666723e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,0.000000000000000000e+00,3.903407970061728224e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.786177947530865062e-02,0.000000000000000000e+00,6.938191358024692335e-01,6.786177947530865062e-02,0.000000000000000000e+00,6.939140123456789544e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,0.000000000000000000e+00,4.617117797530864709e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.491958271604939879e-02,0.000000000000000000e+00,7.174579012345665419e-01,7.491958271604939879e-02,0.000000000000000000e+00,7.175520987654320226e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,0.000000000000000000e+00,5.402578124999998094e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.221093749999998368e-02,0.000000000000000000e+00,7.405314814814816238e-01,8.221093749999998368e-02,0.000000000000000000e+00,7.406249999999998668e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,0.000000000000000000e+00,6.262096276543211056e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.973021234567903071e-02,0.000000000000000000e+00,7.630439506172850272e-01,8.973021234567903071e-02,0.000000000000000000e+00,7.631367901234565876e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-01,0.000000000000000000e+00,7.197923465123457279e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.747181651234568256e-02,0.000000000000000000e+00,7.849993827160490767e-01,9.747181651234568256e-02,0.000000000000000000e+00,7.850915432098766189e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,0.000000000000000000e+00,8.212255199999997368e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.054301999999999878e-01,0.000000000000000000e+00,8.064018518518523138e-01,1.054301999999999878e-01,0.000000000000000000e+00,8.064933333333332843e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000022e-01,0.000000000000000000e+00,9.307231694135803535e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.135998535493827205e-01,0.000000000000000000e+00,8.272554320987648424e-01,1.135998535493827205e-01,0.000000000000000000e+00,8.273462345679011287e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,1.048493827160494087e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.219753086419752969e-01,0.000000000000000000e+00,8.475641975308629839e-01,1.219753086419752969e-01,0.000000000000000000e+00,8.476543209876541418e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.099999999999999922e-01,0.000000000000000000e+00,1.174740577499999543e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.305511374999999696e-01,0.000000000000000000e+00,8.673322222222239475e-01,1.305511374999999696e-01,0.000000000000000000e+00,8.674216666666665354e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000011e-01,0.000000000000000000e+00,1.309661097283950498e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.393219530864197586e-01,0.000000000000000000e+00,8.865635802469133964e-01,1.393219530864197586e-01,0.000000000000000000e+00,8.866523456790121882e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000100e-01,0.000000000000000000e+00,1.453447696697530989e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.482824091049382564e-01,0.000000000000000000e+00,9.052623456790138690e-01,1.482824091049382564e-01,0.000000000000000000e+00,9.053504320987655341e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e-01,0.000000000000000000e+00,1.606287360000000289e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.574272000000000171e-01,0.000000000000000000e+00,9.234325925925919165e-01,1.574272000000000171e-01,0.000000000000000000e+00,9.235199999999998965e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,1.768361786265431473e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.667510609567900703e-01,0.000000000000000000e+00,9.410783950617265248e-01,1.667510609567900703e-01,0.000000000000000000e+00,9.411651234567898205e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e-01,0.000000000000000000e+00,1.939847430123456742e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.762487679012345598e-01,0.000000000000000000e+00,9.582038271604993440e-01,1.762487679012345598e-01,0.000000000000000000e+00,9.582898765432098509e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e-01,0.000000000000000000e+00,2.120915542500000778e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.859151375000000495e-01,0.000000000000000000e+00,9.748129629629609383e-01,1.859151375000000495e-01,0.000000000000000000e+00,9.748983333333334222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000266e-01,0.000000000000000000e+00,2.311732211358024855e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.957450271604938008e-01,0.000000000000000000e+00,9.909098765432080569e-01,1.957450271604938008e-01,0.000000000000000000e+00,9.909945679012344133e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.899999999999999800e-01,0.000000000000000000e+00,2.512458402438271302e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.057333350308641617e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.057333350308641617e-01,0.000000000000000000e+00,1.006582654320987702e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00,2.723249999999999629e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.158750000000000113e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.158750000000000113e-01,0.000000000000000000e+00,1.021666666666666501e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.099999999999999978e-01,0.000000000000000000e+00,2.944257847561728564e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.261650016975308430e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.261650016975308430e-01,0.000000000000000000e+00,1.036250679012345577e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-01,0.000000000000000000e+00,3.175627788641975646e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.365983604938271534e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.365983604938271534e-01,0.000000000000000000e+00,1.050338765432098587e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000155e-01,0.000000000000000000e+00,3.417500707499999957e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.471701375000000256e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.471701375000000256e-01,0.000000000000000000e+00,1.063934999999999853e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000244e-01,0.000000000000000000e+00,3.670012569876544145e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.578754345679012960e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.578754345679012960e-01,0.000000000000000000e+00,1.077043456790123699e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,3.933294463734568480e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.687093942901235266e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.687093942901235266e-01,0.000000000000000000e+00,1.089668209876543115e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.599999999999999867e-01,0.000000000000000000e+00,4.207472639999998432e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.796671999999999492e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.796671999999999492e-01,0.000000000000000000e+00,1.101813333333333089e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.699999999999999956e-01,0.000000000000000000e+00,4.492668553302469475e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.907440757716049928e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.907440757716049928e-01,0.000000000000000000e+00,1.113482901234568168e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000044e-01,0.000000000000000000e+00,4.788998902716049000e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.019352864197531461e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.019352864197531461e-01,0.000000000000000000e+00,1.124680987654320896e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000133e-01,0.000000000000000000e+00,5.096575672500000542e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.132361375000000114e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.132361375000000114e-01,0.000000000000000000e+00,1.135411666666666930e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,5.415506172839507082e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.246419753086419724e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.246419753086419724e-01,0.000000000000000000e+00,1.145679012345679038e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000311e-01,0.000000000000000000e+00,5.745893080586421398e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.361481868827161379e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.361481868827161379e-01,0.000000000000000000e+00,1.155487098765431986e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.199999999999999845e-01,0.000000000000000000e+00,6.087834479999996995e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.477501999999998983e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.477501999999998983e-01,0.000000000000000000e+00,1.164839999999999876e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.299999999999999933e-01,0.000000000000000000e+00,6.441423903487654423e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.594434831790124241e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.594434831790124241e-01,0.000000000000000000e+00,1.173741790123456807e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000022e-01,0.000000000000000000e+00,6.806750372345676814e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.712235456790123345e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.712235456790123345e-01,0.000000000000000000e+00,1.182196543209876216e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,7.183898437499997014e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.830859374999998623e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.830859374999998623e-01,0.000000000000000000e+00,1.190208333333332869e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000200e-01,0.000000000000000000e+00,7.572948220246915330e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.950262493827161325e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.950262493827161325e-01,0.000000000000000000e+00,1.197781234567901532e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000289e-01,0.000000000000000000e+00,7.973975452993826984e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.070401128086419962e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.070401128086419962e-01,0.000000000000000000e+00,1.204919320987654086e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.799999999999999822e-01,0.000000000000000000e+00,8.387051519999998150e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.191231999999999736e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.191231999999999736e-01,0.000000000000000000e+00,1.211626666666666186e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.899999999999999911e-01,0.000000000000000000e+00,8.812243498117285079e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.312712239197531439e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.312712239197531439e-01,0.000000000000000000e+00,1.217907345679011932e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,9.249614197530862947e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.434799382716049232e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.434799382716049232e-01,0.000000000000000000e+00,1.223765432098765427e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000089e-01,0.000000000000000000e+00,9.699222202499999113e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.557451375000001192e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.557451375000001192e-01,0.000000000000000000e+00,1.229204999999999881e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e-01,0.000000000000000000e+00,1.016112191209876670e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.680626567901234325e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.680626567901234325e-01,0.000000000000000000e+00,1.234230123456789618e+00,0.000000000000000000e+00,0.000000000000000000e+00
