t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.140000000000000124e+00,0.000000000000000000e+00,4.652304017383693258e-02,2.676924957548464379e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.499996829318848757e-01,3.981632291217070563e-04,1.809781690049419856e-01
1.000000000000000021e-02,0.000000000000000000e+00,-1.309119386132881034e-05,1.961102965783304280e-08,3.140138506387746276e+00,2.676924957548464361e-03,4.652304017383693258e-02,2.850361129147743755e-01,-2.676922127311045368e-03,3.892641565248261665e-06,-2.852098687562351076e-01,3.804245595602952093e-04,1.809781690049419856e-01
2.000000000000000042e-02,0.000000000000000000e+00,-5.469467410887171176e-05,7.726747661071219012e-08,3.140257791507075069e+00,5.700722258295487510e-03,4.652304017383693258e-02,3.192039158242183094e-01,-5.700717179360938539e-03,7.609675726812542188e-06,-3.193759958514560959e-01,3.630412506808746408e-04,1.809781690049419856e-01
2.999999999999999889e-02,0.000000000000000000e+00,-1.282271398507408959e-04,1.712309850854935550e-07,3.140361593006264496e+00,9.061003274032829180e-03,4.652304017383693258e-02,3.523380383611199318e-01,-9.060996408012434583e-03,1.115464116039166054e-05,-3.525084320483581890e-01,3.460103162592268172e-04,1.809781690049419856e-01
4.000000000000000083e-02,0.000000000000000000e+00,-2.370019211052166530e-04,2.997984367548106095e-07,3.140452738376938058e+00,1.274748302551788511e-02,4.652304017383693258e-02,3.844488458430497246e-01,-1.274747474343640441e-02,1.453104667944225698e-05,-3.846175451777514853e-01,3.293287700711335303e-04,1.809781690049419856e-01
5.000000000000000278e-02,0.000000000000000000e+00,-3.842300155838285517e-04,4.613016521146522012e-07,3.140533406095120661e+00,1.674998019089382617e-02,4.652304017383693258e-02,4.155467042925069521e-01,-1.674997079411180700e-02,1.774237123517878801e-05,-4.157137030704463609e-01,3.129936258923761384e-04,1.809781690049419856e-01
5.999999999999999778e-02,0.000000000000000000e+00,-5.730211254744358015e-04,6.541070918619405232e-07,3.140605301730208687e+00,2.105841711136802186e-02,4.652304017383693258e-02,4.456419802121418527e-01,-2.105840684682570157e-02,2.079206391657350772e-05,-4.458072735572529699e-01,2.970018974987364874e-04,1.809781690049419856e-01
7.000000000000000666e-02,0.000000000000000000e+00,-8.063846942243095995e-04,8.766155582721102914e-07,3.140669779661624528e+00,2.566281979513666822e-02,4.652304017383693258e-02,4.747450404394253365e-01,-2.566280886667327357e-02,2.368354395035651182e-05,-4.749086244689817438e-01,2.813505986659958270e-04,1.809781690049419856e-01
8.000000000000000167e-02,0.000000000000000000e+00,-1.087230943323212523e-03,1.127261896576685064e-06,3.140727929042931521e+00,3.055331792015652734e-02,4.652304017383693258e-02,5.028662520501976374e-01,-3.055330649705777571e-02,2.642020070101569023e-05,-5.030281236364426700e-01,2.660367431699359490e-04,1.809781690049419856e-01
8.999999999999999667e-02,0.000000000000000000e+00,-1.418371909086480658e-03,1.404514696340857079e-06,3.140780635693689593e+00,3.572014483614061736e-02,3.616559494391096558e-02,5.300159822931667097e-01,-3.572013305969060082e-02,2.900539367079676435e-05,-5.301761388904459027e-01,2.510573447863384826e-04,1.406467280750888227e-01
