t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_edges,number_of_binary_variables
5.00003807246685e-07,0.007888299995101988,1,MIQP_OPTIMAL,18,72,2160
0.12552259996300563,0.01824439998017624,1,MIQP_OPTIMAL,18,72,2160
0.25897949998034164,0.057838000007905066,1,MIQP_OPTIMAL,18,72,2160
0.4256391999660991,0.06629739998606965,1,MIQP_OPTIMAL,18,72,2160
0.6254589000018314,0.06559039995772764,1,MIQP_OPTIMAL,18,72,2160
0.8254871999961324,0.07438149995869026,1,MIQP_OPTIMAL,18,72,2160
1.0258241999545135,0.060752199962735176,1,MIQP_OPTIMAL,18,72,2160
1.2255609999992885,0.05748789996141568,1,MIQP_OPTIMAL,18,72,2160
1.3922117999754846,0.05677660001674667,1,MIQP_OPTIMAL,18,72,2160
1.5589899999904446,0.07181950000813231,1,MIQP_OPTIMAL,18,72,2160
1.7589557999745011,0.06678210000973195,1,MIQP_OPTIMAL,18,72,2160
1.9922617999836802,0.0639833000022918,1,MIQP_OPTIMAL,18,72,2160
2.1921812999644317,0.057833600032608956,1,MIQP_OPTIMAL,18,72,2160
2.3588681999826804,0.058057399990502745,1,MIQP_OPTIMAL,18,72,2160
2.5587857999489643,0.05803549999836832,1,MIQP_OPTIMAL,18,72,2160
2.7254802999668755,0.056694399972911924,1,MIQP_OPTIMAL,18,72,2160
2.8921685999957845,0.05792759999167174,1,MIQP_OPTIMAL,18,72,2160
3.058820599981118,0.057003999943844974,1,MIQP_OPTIMAL,18,72,2160
3.225614199996926,0.05718730000080541,1,MIQP_OPTIMAL,18,72,2160
3.3921336999628693,0.05542990000685677,1,MIQP_OPTIMAL,18,72,2160
3.5587309999973513,0.05902009998681024,1,MIQP_OPTIMAL,18,72,2160
3.725899599958211,0.05770420003682375,1,MIQP_OPTIMAL,18,72,2160
3.8922675999929197,0.0610539999906905,1,MIQP_OPTIMAL,18,72,2160
4.058793499949388,0.05681039998307824,1,MIQP_OPTIMAL,18,72,2160
4.225778099964373,0.056777400022838265,1,MIQP_OPTIMAL,18,72,2160
4.392181199975312,0.0643733000033535,1,MIQP_OPTIMAL,18,72,2160
4.5922520000021905,0.05673339997883886,1,MIQP_OPTIMAL,18,72,2160
4.759016799973324,0.05896960000973195,1,MIQP_OPTIMAL,18,72,2160
4.925456199969631,0.058943299984093755,1,MIQP_OPTIMAL,18,72,2160
5.09213019994786,0.05888510000659153,1,MIQP_OPTIMAL,18,72,2160
5.258852099999785,0.06419999996433035,1,MIQP_OPTIMAL,18,72,2160
5.425714799959678,0.05825399997411296,1,MIQP_OPTIMAL,18,72,2160
5.592155999969691,0.0603453999501653,1,MIQP_OPTIMAL,18,72,2160
5.758890600001905,0.0682647000066936,1,MIQP_OPTIMAL,18,72,2160
5.958835099998396,0.15253479999955744,1,MIQP_OPTIMAL,18,72,2160
6.225440899957903,0.1617736000334844,1,MIQP_OPTIMAL,18,72,2160
6.492133499996271,0.28305180004099384,1,MIQP_OPTIMAL,18,72,2160
6.892281499982346,0.21217700000852346,1,MIQP_OPTIMAL,18,72,2160
7.225505999987945,0.10805419995449483,1,MIQP_OPTIMAL,18,72,2160
7.4587787999771535,0.08671830000821501,1,MIQP_OPTIMAL,18,72,2160
7.65882299997611,0.05345230002421886,1,MIQP_OPTIMAL,18,72,2160
7.825527099950705,0.20904010004596785,1,MIQP_OPTIMAL,18,72,2160
8.15919269999722,0.15957400004845113,1,MIQP_OPTIMAL,18,72,2160
8.458886499982327,0.05592620000243187,1,MIQP_OPTIMAL,18,72,2160
8.625418499985244,0.05538080004043877,1,MIQP_OPTIMAL,18,72,2160
8.792187199986074,0.05778530001407489,1,MIQP_OPTIMAL,18,72,2160
8.958848499984015,0.06212259997846559,1,MIQP_OPTIMAL,18,72,2160
9.125450199993793,0.07096479996107519,1,MIQP_OPTIMAL,18,72,2160
9.325578499992844,0.0565000000060536,1,MIQP_OPTIMAL,18,72,2160
9.49217449995922,0.06436479999683797,1,MIQP_OPTIMAL,18,72,2160
9.692207799991593,0.05739470000844449,1,MIQP_OPTIMAL,18,72,2160
9.858929299982265,0.05986969999503344,1,MIQP_OPTIMAL,18,72,2160
10.025553399987984,0.058220600010827184,1,MIQP_OPTIMAL,18,72,2160
10.192173399962485,0.060439900029450655,1,MIQP_OPTIMAL,18,72,2160
10.358859299973119,0.06755350000457838,1,MIQP_OPTIMAL,18,72,2160
10.558966799988411,0.05675379995955154,1,MIQP_OPTIMAL,18,72,2160
10.758866699994542,0.05467380001209676,1,MIQP_OPTIMAL,18,72,2160
10.925525399972685,0.058950999984517694,1,MIQP_OPTIMAL,18,72,2160
11.092172699980438,0.059352500014938414,1,MIQP_OPTIMAL,18,72,2160
11.258873199985828,0.05613019998418167,1,MIQP_OPTIMAL,18,72,2160
11.425586299970746,0.05262070003664121,1,MIQP_OPTIMAL,18,72,2160
11.592250999994576,0.058233499992638826,1,MIQP_OPTIMAL,18,72,2160
11.7588874999783,0.06553369999164715,1,MIQP_OPTIMAL,18,72,2160
11.95905419997871,0.05364569998346269,1,MIQP_OPTIMAL,18,72,2160
12.125518999993801,0.05515999998897314,1,MIQP_OPTIMAL,18,72,2160
12.292162699974142,0.1408610999933444,1,MIQP_OPTIMAL,18,72,2160
12.558914599998388,0.1513097999850288,1,MIQP_OPTIMAL,18,72,2160
12.825822499988135,0.08820749999722466,1,MIQP_OPTIMAL,18,72,2160
13.025668799993582,0.09799270000075921,1,MIQP_OPTIMAL,18,72,2160
13.22552929999074,0.08165179996285588,1,MIQP_OPTIMAL,18,72,2160
13.425621899950784,0.2307437999988906,1,MIQP_OPTIMAL,18,72,2160
13.758815199951641,0.23259770002914593,1,MIQP_OPTIMAL,18,72,2160
14.09218429995235,0.06182279996573925,1,MIQP_OPTIMAL,18,72,2160
14.258896099985577,0.07659329997841269,1,MIQP_OPTIMAL,18,72,2160
14.45890359999612,0.07557600003201514,1,MIQP_OPTIMAL,18,72,2160
14.658902700000908,0.05938839999726042,1,MIQP_OPTIMAL,18,72,2160
14.825572400004603,0.062177499989047647,1,MIQP_OPTIMAL,18,72,2160
15.025533699954394,0.06524739996530116,1,MIQP_OPTIMAL,18,72,2160
15.192304099968169,0.07920999999623746,1,MIQP_OPTIMAL,18,72,2160
15.392325499968138,0.06864769995445386,1,MIQP_OPTIMAL,18,72,2160
