segment,control_point,X,Y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.029740502510427119e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.241173037753352304e+00,-9.395982259524549018e-02
0.000000000000000000e+00,4.000000000000000000e+00,1.593926081324382960e+00,-6.901052798737841720e-02
0.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.406073918675617040e+00,6.901052798737841720e-02
1.000000000000000000e+00,2.000000000000000000e+00,2.865468712455820466e+00,1.820822893542681786e-01
1.000000000000000000e+00,3.000000000000000000e+00,3.091726765421353385e+00,4.369417461225361676e-01
1.000000000000000000e+00,4.000000000000000000e+00,3.537403326166117523e+00,5.734479630572641984e-01
1.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,6.999999999999999556e-01
2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,6.999999999999999556e-01
2.000000000000000000e+00,1.000000000000000000e+00,4.616795565111843302e+00,8.687360492569811132e-01
2.000000000000000000e+00,2.000000000000000000e+00,5.263671331271008391e+00,1.019775778528198229e+00
2.000000000000000000e+00,3.000000000000000000e+00,6.072274536194020911e+00,1.329999999999999849e+00
2.000000000000000000e+00,4.000000000000000000e+00,6.786137268097010455e+00,1.399999999999999911e+00
2.000000000000000000e+00,5.000000000000000000e+00,7.500000000000000000e+00,1.399999999999999911e+00
3.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e+00,1.399999999999999911e+00
3.000000000000000000e+00,1.000000000000000000e+00,8.213862731902990433e+00,1.399999999999999911e+00
3.000000000000000000e+00,2.000000000000000000e+00,8.927725463805980866e+00,1.329999999999999849e+00
3.000000000000000000e+00,3.000000000000000000e+00,9.736328668728990721e+00,1.019775778528198229e+00
3.000000000000000000e+00,4.000000000000000000e+00,1.038320443488815670e+01,8.687360492569811132e-01
3.000000000000000000e+00,5.000000000000000000e+00,1.100000000000000000e+01,6.999999999999999556e-01
4.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,6.999999999999999556e-01
4.000000000000000000e+00,1.000000000000000000e+00,1.146259667383388248e+01,5.734479630572641984e-01
4.000000000000000000e+00,2.000000000000000000e+00,1.190827323457864573e+01,4.369417461225361676e-01
4.000000000000000000e+00,3.000000000000000000e+00,1.213453128754417953e+01,1.820822893542681786e-01
4.000000000000000000e+00,4.000000000000000000e+00,1.259392608132438340e+01,6.901052798737841720e-02
4.000000000000000000e+00,5.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.340607391867561660e+01,-6.901052798737841720e-02
5.000000000000000000e+00,2.000000000000000000e+00,1.375882696224664592e+01,-9.395982259524549018e-02
5.000000000000000000e+00,3.000000000000000000e+00,1.489702594974895788e+01,0.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00
