t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.235999999999999543e-01,2.492853999932798104e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.288312227800949339e-01,0.000000000000000000e+00,-5.904744970841095508e+00
2.000000000000000042e-02,0.000000000000000000e+00,4.850135132946270305e-05,-2.753768962333635969e-07,-8.254848541874602874e-03,4.985707999865596381e-03,-5.235999999999999543e-01,2.692146979101365245e-01,4.985538131465566160e-03,-4.115579699920326898e-05,2.694524787052315351e-01,-4.085471359794544226e-03,-5.904744970841095508e+00
4.000000000000000083e-02,0.000000000000000000e+00,2.047300281781197495e-04,-2.178959815393859139e-06,-1.506497302785897094e-02,1.076858791640546154e-02,-5.235999999999999543e-01,2.999999999999999889e-01,1.076736595562960246e-02,-1.622223501936445697e-04,3.084637557434191657e-01,-7.991467089868498422e-03,-5.904744970841095508e+00
5.999999999999999778e-02,0.000000000000000000e+00,4.842912540999414752e-04,-7.273225343580007731e-06,-2.076887817436102665e-02,1.731723244418800073e-02,-5.235999999999999543e-01,2.999999999999999889e-01,1.731349771636174831e-02,-3.596336352095938992e-04,3.458864360555201078e-01,-1.172033601229006440e-02,-5.904744970841095508e+00
8.000000000000000167e-02,0.000000000000000000e+00,9.021548139584640615e-04,-1.704979934382937703e-05,-2.560683624757072174e-02,2.460044023815048317e-02,-5.235999999999999543e-01,2.999999999999999889e-01,2.459237530074892195e-02,-6.298706041146862663e-04,3.817419018023976984e-01,-1.527442694912746826e-02,-5.904744970841095508e+00
1.000000000000000056e-01,0.000000000000000000e+00,1.472663606791133105e-03,-3.293039648494585904e-05,-2.975406009992950448e-02,3.258729200641703738e-02,-5.235999999999999543e-01,2.999999999999999889e-01,3.257286823909524842e-02,-9.694611854179193203e-04,4.160515351449143862e-01,-1.865608872244889013e-02,-5.904744970841095508e+00
1.199999999999999956e-01,0.000000000000000000e+00,2.209542198673651852e-03,-5.626775977032699006e-05,-3.334129694631488006e-02,4.124719764153582380e-02,-5.235999999999999543e-01,2.999999999999999889e-01,4.122427370492217497e-02,-1.374980284069656725e-03,4.488367182439333414e-01,-2.186767015432257780e-02,-4.051821559394864103e+00
1.400000000000000133e-01,0.000000000000000000e+00,3.125905375584323194e-03,-8.834660006679116229e-05,-3.646807209386516979e-02,5.054992647608313322e-02,-5.235999999999999543e-01,2.999999999999999889e-01,5.051631651496835823e-02,-1.843049781461625260e-03,4.801188332603171793e-01,-2.491152006681670791e-02,-2.891967068200968161e+00
1.600000000000000033e-01,0.000000000000000000e+00,4.234266696268394921e-03,-1.303845356334049706e-04,-3.921146880569355286e-02,6.046562731228211085e-02,-5.008069616030390581e-01,2.999999999999999889e-01,6.041914912918971287e-02,-2.370338535426916391e-03,5.099192623549286818e-01,-2.778998728199950571e-02,-2.127699702965589079e+00
1.799999999999999933e-01,0.000000000000000000e+00,5.546547045102405080e-03,-1.835330316503103762e-04,-4.163210498802966814e-02,7.096484204199440815e-02,-3.912947974668411488e-01,2.999999999999999889e-01,7.090335165075942192e-02,-2.953562380239984318e-03,5.382593876886306861e-01,-3.050542062193918255e-02,-1.603767916047033504e+00
2.000000000000000111e-01,0.000000000000000000e+00,7.074083184958538176e-03,-2.488783397475524770e-04,-4.377829739993598090e-02,8.201851512893840179e-02,-3.071578365019376200e-01,2.999999999999999889e-01,8.193993182606795767e-02,-3.589484126616651182e-03,5.651605914222862515e-01,-3.306016890870393937e-02,-1.233028377335242176e+00
2.200000000000000011e-01,0.000000000000000000e+00,8.827636310068940825e-03,-3.274424375339058616e-04,-4.568902340175052396e-02,9.359800034952125980e-02,-2.430243099147713082e-01,2.999999999999999889e-01,9.350032504472299832e-02,-4.274913561714098822e-03,5.906442557167578267e-01,-3.545658096436199447e-02,-9.637493143995924383e-01
2.399999999999999911e-01,0.000000000000000000e+00,1.081740059889011070e-02,-4.201839681257028402e-04,-4.739606650855270054e-02,1.056750656751518358e-01,-1.940201463647462099e-01,2.999999999999999889e-01,1.055563943395494697e-01,-5.006707449130874850e-03,6.147317627329084155e-01,-3.769700561098154878e-02,-7.638170063878243488e-01
2.600000000000000089e-01,0.000000000000000000e+00,1.305301176696718746e-02,-5.279991796756600088e-04,-4.892559650024144030e-02,1.182218968684212446e-01,-1.562936666887691228e-01,2.999999999999999889e-01,1.180804303865896077e-01,-5.781769528906892212e-03,6.374444946316009109e-01,-3.978379167063082061e-02,-6.125514402250896717e-01
2.800000000000000266e-01,0.000000000000000000e+00,1.554355561979835210e-02,-6.517228649017058973e-04,-5.029935053951210822e-02,1.312111001726840032e-01,-1.269657961037426452e-01,2.999999999999999889e-01,1.310451515051028470e-01,-6.597050517523426159e-03,6.588038335736977613e-01,-4.171928796537802131e-02,-4.962195023948973716e-01
2.999999999999999889e-01,0.000000000000000000e+00,1.829757660569913957e-02,-7.921293006158086451e-04,-5.153552803309303931e-02,1.446157043518455365e-01,-1.039284596731227389e-01,2.999999999999999889e-01,1.444237036575659605e-01,-7.449548107903119012e-03,6.788311617200624148e-01,-4.350584331729134141e-02,-4.054587553843889691e-01
3.200000000000000067e-01,0.000000000000000000e+00,2.132308636866679305e-02,-9.499331872528028091e-04,-5.264947699360312400e-02,1.584091622573361169e-01,-8.564451624551275288e-02,2.999999999999999889e-01,1.581896604496728920e-01,-8.336306969409977563e-03,6.975478612315573201e-01,-4.514580654843901308e-02,-3.337396805278822765e-01
3.400000000000000244e-01,0.000000000000000000e+00,2.462757230124460253e-02,-1.125790588399215846e-03,-5.365422643023678995e-02,1.725653520462926693e-01,-7.098875246715767584e-02,2.999999999999999889e-01,1.723170231303349231e-01,-9.254418747849367868e-03,7.149753142690452590e-01,-4.664152648088924769e-02,-2.764168719484075831e-01
3.599999999999999867e-01,0.000000000000000000e+00,2.821800609738624524e-02,-1.320299870322096114e-03,-5.456090359056738059e-02,1.870585781391940206e-01,-5.913105290379865042e-02,2.999999999999999889e-01,1.867802205916803959e-01,-1.020102206546801525e-02,7.311349029933887911e-01,-4.799535193671020800e-02,-2.301265939861031617e-01
3.800000000000000044e-01,0.000000000000000000e+00,3.210085230532018497e-02,-1.534002641497842932e-03,-5.537906408067802544e-02,2.018635719806271545e-01,-4.945314142571347049e-02,2.999999999999999889e-01,2.015541093690552399e-01,-1.117330252095403466e-02,7.460480095654513644e-01,-4.920963173797016088e-02,-1.923945396330919988e-01
