segment,control_point,X,Y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,6.213388347648319820e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.199999999999999956e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.421338834764831693e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.000000000000000000e+00,1.665334293148119427e+00,1.033566822303314675e-01
1.000000000000000000e+00,4.000000000000000000e+00,1.842283898505052475e+00,6.532814824381882879e-02
1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,2.157716101494947303e+00,-6.532814824381882879e-02
2.000000000000000000e+00,2.000000000000000000e+00,2.296198699127909304e+00,-1.579559107449438338e-01
2.000000000000000000e+00,3.000000000000000000e+00,2.297411165235168085e+00,-2.974111652351680846e-01
2.000000000000000000e+00,4.000000000000000000e+00,2.399999999999999911e+00,-3.999999999999999667e-01
2.000000000000000000e+00,5.000000000000000000e+00,2.500000000000000000e+00,-5.000000000000000000e-01
3.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+00,-5.000000000000000000e-01
3.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000089e+00,-5.999999999999999778e-01
3.000000000000000000e+00,2.000000000000000000e+00,2.697411165235168440e+00,-6.974111652351681068e-01
3.000000000000000000e+00,3.000000000000000000e+00,2.799999999999999822e+00,-8.000000000000000444e-01
3.000000000000000000e+00,4.000000000000000000e+00,2.899999999999999911e+00,-9.000000000000000222e-01
3.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,3.100000000000000089e+00,-1.100000000000000089e+00
4.000000000000000000e+00,2.000000000000000000e+00,3.200000000000000178e+00,-1.200000000000000178e+00
4.000000000000000000e+00,3.000000000000000000e+00,3.228082688136601153e+00,-1.449999999999999956e+00
4.000000000000000000e+00,4.000000000000000000e+00,3.358578643762690330e+00,-1.500000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+00,3.500000000000000000e+00,-1.500000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+00,-1.500000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,3.641421356237309670e+00,-1.500000000000000000e+00
5.000000000000000000e+00,2.000000000000000000e+00,3.793768113085839833e+00,-1.449999999999999956e+00
5.000000000000000000e+00,3.000000000000000000e+00,3.633757924279124474e+00,-1.257126886277566413e+00
5.000000000000000000e+00,4.000000000000000000e+00,3.805350202106454027e+00,-1.120300191001509127e+00
5.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,-1.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,-1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,4.194649797893545973e+00,-8.796998089984908731e-01
6.000000000000000000e+00,2.000000000000000000e+00,4.412357115853308365e+00,-7.759261222715297945e-01
6.000000000000000000e+00,3.000000000000000000e+00,5.090757257313497597e+00,-7.221490892577332454e-01
6.000000000000000000e+00,4.000000000000000000e+00,5.305350202106454027e+00,-6.203001910015091269e-01
6.000000000000000000e+00,5.000000000000000000e+00,5.500000000000000000e+00,-5.000000000000000000e-01
7.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+00,-5.000000000000000000e-01
7.000000000000000000e+00,1.000000000000000000e+00,5.694649797893545973e+00,-3.796998089984908176e-01
7.000000000000000000e+00,2.000000000000000000e+00,5.869356448887681488e+00,-2.409483252516966822e-01
7.000000000000000000e+00,3.000000000000000000e+00,5.838427740098572016e+00,-3.049293383077687492e-01
7.000000000000000000e+00,4.000000000000000000e+00,5.934671851756180949e+00,-1.577161014949474971e-01
7.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,6.065328148243819051e+00,1.577161014949474971e-01
8.000000000000000000e+00,2.000000000000000000e+00,6.099740333073848220e+00,3.259350676720212392e-01
8.000000000000000000e+00,3.000000000000000000e+00,6.172670193514356640e+00,6.147748152686248746e-01
8.000000000000000000e+00,4.000000000000000000e+00,6.111351636441160196e+00,8.198292675352806258e-01
8.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,5.888648363558839804e+00,1.180170732464719485e+00
9.000000000000000000e+00,2.000000000000000000e+00,5.727263647749715858e+00,1.335457745127502704e+00
9.000000000000000000e+00,3.000000000000000000e+00,5.411684382700235219e+00,1.377816663505330830e+00
9.000000000000000000e+00,4.000000000000000000e+00,5.206137443920914265e+00,1.451337550526613507e+00
9.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,4.793862556079085735e+00,1.548662449473386493e+00
1.000000000000000000e+01,2.000000000000000000e+00,4.587134607016578158e+00,1.572466461398876802e+00
1.000000000000000000e+01,3.000000000000000000e+00,4.332646346055300413e+00,1.397479764398936508e+00
1.000000000000000000e+01,4.000000000000000000e+00,4.157716101494947303e+00,1.434671851756181171e+00
1.000000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,3.842283898505052697e+00,1.565328148243818829e+00
1.100000000000000000e+01,2.000000000000000000e+00,3.701781940075510757e+00,1.658792357374211823e+00
1.100000000000000000e+01,3.000000000000000000e+00,3.660758045302243247e+00,1.697036349620262952e+00
1.100000000000000000e+01,4.000000000000000000e+00,3.565328148243818607e+00,1.842283898505052475e+00
1.100000000000000000e+01,5.000000000000000000e+00,3.500000000000000000e+00,2.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,3.500000000000000000e+00,2.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.434671851756181393e+00,2.157716101494947303e+00
1.200000000000000000e+01,2.000000000000000000e+00,3.399445452326968820e+00,2.327900755600052829e+00
1.200000000000000000e+01,3.000000000000000000e+00,3.400010072976349829e+00,2.673462359229281216e+00
1.200000000000000000e+01,4.000000000000000000e+00,3.434671851756180949e+00,2.842283898505052697e+00
1.200000000000000000e+01,5.000000000000000000e+00,3.500000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,3.500000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,3.565328148243819051e+00,3.157716101494947303e+00
1.300000000000000000e+01,2.000000000000000000e+00,3.661322665951626032e+00,3.304326765209070427e+00
1.300000000000000000e+01,3.000000000000000000e+00,3.716582235038059068e+00,3.277717067175947463e+00
1.300000000000000000e+01,4.000000000000000000e+00,3.851936881354375508e+00,3.393282142085901842e+00
1.300000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00,3.500000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,3.500000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,4.148063118645624492e+00,3.606717857914098158e+00
1.400000000000000000e+01,2.000000000000000000e+00,4.308834709620557035e+00,3.704588498832340093e+00
