X,Y,psi,vx,delta,ax
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.066941738241592164e-01
2.000000000000000000e+00,0.000000000000000000e+00,-3.926990816987241395e-01,4.267766952966368654e-01,-2.261551892664307450e-01,-3.661165235168155341e-02
2.500000000000000000e+00,-5.000000000000000000e-01,-7.853981633974482790e-01,3.535533905932737864e-01,0.000000000000000000e+00,-1.830582617584076977e-02
3.000000000000000000e+00,-1.000000000000000000e+00,-7.853981633974482790e-01,3.535533905932737864e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,3.535533905932737864e-01,4.751802056658833706e-01,5.462700305610264373e-02
4.000000000000000000e+00,-1.000000000000000000e+00,5.535743588970453155e-01,5.720614028176843613e-01,-1.025391075438041311e-01,5.462700305610264373e-02
5.500000000000000000e+00,-5.000000000000000000e-01,5.535743588970453155e-01,5.720614028176843613e-01,1.025391075438041311e-01,-3.632117688026187396e-02
6.000000000000000000e+00,0.000000000000000000e+00,1.178097245096172418e+00,4.267766952966368654e-01,2.261551892664307450e-01,-1.063822640755265891e-02
6.000000000000000000e+00,1.000000000000000000e+00,2.124370685691941762e+00,5.295084971874737256e-01,2.499263622341278135e-01,2.568295047270921505e-02
5.000000000000000000e+00,1.500000000000000000e+00,2.909768849089390041e+00,5.295084971874737256e-01,1.111507107118249460e-01,-2.568295047270921505e-02
4.000000000000000000e+00,1.500000000000000000e+00,2.748893571891068976e+00,4.267766952966368654e-01,-2.261551892664307450e-01,-2.568295047270921505e-02
3.500000000000000000e+00,2.000000000000000000e+00,1.963495408493620697e+00,4.267766952966368654e-01,-2.261551892664307450e-01,0.000000000000000000e+00
3.500000000000000000e+00,3.000000000000000000e+00,1.178097245096172418e+00,4.267766952966368654e-01,-2.261551892664307450e-01,7.377124296868431408e-03
4.000000000000000000e+00,3.500000000000000000e+00,6.245228861991272140e-01,4.562851924841105911e-01,-9.000543600372241937e-02,2.568295047270921505e-02
5.000000000000000000e+00,4.000000000000000000e+00,2.318238045004030745e-01,5.295084971874737256e-01,-1.111507107118249460e-01,4.217870187897235223e-02
6.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.250000000000000000e-01,0.000000000000000000e+00,5.512287570313156859e-02
7.500000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00,-1.830582617584078364e-02
9.000000000000000000e+00,4.000000000000000000e+00,-3.926990816987241395e-01,5.517766952966368654e-01,-1.746736109148154525e-01,-9.911165235168155341e-02
9.500000000000000000e+00,3.500000000000000000e+00,-7.853981633974482790e-01,3.535533905932737864e-01,0.000000000000000000e+00,-3.125000000000000000e-02
1.000000000000000000e+01,3.000000000000000000e+00,-1.178097245096172418e+00,4.267766952966368654e-01,-2.261551892664307450e-01,3.661165235168155341e-02
1.000000000000000000e+01,2.000000000000000000e+00,-1.570796326794896558e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.830582617584078364e-02
1.000000000000000000e+01,1.000000000000000000e+00,-1.570796326794896558e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,-1.570796326794896558e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.000000000000000000e+00,-1.570796326794896558e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.377124296868431408e-03
1.000000000000000000e+01,-2.000000000000000000e+00,-1.802620131295299633e+00,5.295084971874737256e-01,-1.111507107118249460e-01,-1.092870187897235223e-02
9.500000000000000000e+00,-3.000000000000000000e+00,-2.195319212994023772e+00,4.562851924841105911e-01,-9.000543600372241937e-02,-2.568295047270921505e-02
9.000000000000000000e+00,-3.500000000000000000e+00,-2.748893571891068976e+00,4.267766952966368654e-01,-2.261551892664307450e-01,-1.140712981210276478e-01
8.000000000000000000e+00,-3.500000000000000000e+00,-3.143185307179586108e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.133883476483184327e-01
