segment,control_point,X,Y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,6.213388347648319820e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.199999999999999956e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.421338834764831693e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.000000000000000000e+00,1.665334293148119427e+00,1.033566822303314675e-01
1.000000000000000000e+00,4.000000000000000000e+00,1.842283898505052475e+00,6.532814824381882879e-02
1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,2.157716101494947303e+00,-6.532814824381882879e-02
2.000000000000000000e+00,2.000000000000000000e+00,2.296198699127909304e+00,-1.579559107449438338e-01
2.000000000000000000e+00,3.000000000000000000e+00,2.298064515870910096e+00,-2.980645158709101517e-01
2.000000000000000000e+00,4.000000000000000000e+00,2.399999999999999911e+00,-3.999999999999999667e-01
2.000000000000000000e+00,5.000000000000000000e+00,2.500000000000000000e+00,-5.000000000000000000e-01
3.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+00,-5.000000000000000000e-01
3.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000089e+00,-5.999999999999999778e-01
3.000000000000000000e+00,2.000000000000000000e+00,2.698064515870910451e+00,-6.980645158709101183e-01
3.000000000000000000e+00,3.000000000000000000e+00,2.786158292233181566e+00,-8.001505606689444106e-01
3.000000000000000000e+00,4.000000000000000000e+00,2.890112994857764850e+00,-8.996495783862485940e-01
3.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,3.109887005142235150e+00,-1.100350421613751406e+00
4.000000000000000000e+00,2.000000000000000000e+00,3.225706312802122167e+00,-1.201552247123950146e+00
4.000000000000000000e+00,3.000000000000000000e+00,3.252456080854241094e+00,-1.416112119954873405e+00
4.000000000000000000e+00,4.000000000000000000e+00,3.419737472748279661e+00,-1.483037993538428356e+00
4.000000000000000000e+00,5.000000000000000000e+00,3.600000000000000089e+00,-1.500000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000089e+00,-1.500000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,3.780262527251720517e+00,-1.516962006461571644e+00
5.000000000000000000e+00,2.000000000000000000e+00,3.973506189861122806e+00,-1.483960145801159980e+00
5.000000000000000000e+00,3.000000000000000000e+00,4.121338864753149700e+00,-1.202365676524244753e+00
5.000000000000000000e+00,4.000000000000000000e+00,4.310044837768727710e+00,-1.100193638561207221e+00
5.000000000000000000e+00,5.000000000000000000e+00,4.500000000000000000e+00,-1.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000000e+00,-1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,4.689955162231272290e+00,-8.998063614387926679e-01
6.000000000000000000e+00,2.000000000000000000e+00,4.881159513678238859e+00,-8.015911222794156465e-01
6.000000000000000000e+00,3.000000000000000000e+00,5.190865505827470194e+00,-7.048045713122046418e-01
6.000000000000000000e+00,4.000000000000000000e+00,5.351936881354375508e+00,-6.067178579140980466e-01
6.000000000000000000e+00,5.000000000000000000e+00,5.500000000000000000e+00,-5.000000000000000000e-01
7.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+00,-5.000000000000000000e-01
7.000000000000000000e+00,1.000000000000000000e+00,5.648063118645624492e+00,-3.932821420859019534e-01
7.000000000000000000e+00,2.000000000000000000e+00,5.783117980409968162e+00,-2.779331396558124556e-01
7.000000000000000000e+00,3.000000000000000000e+00,5.840289023834676740e+00,-3.004358018686394960e-01
7.000000000000000000e+00,4.000000000000000000e+00,5.934671851756180949e+00,-1.577161014949474971e-01
7.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,6.065328148243819051e+00,1.577161014949474971e-01
8.000000000000000000e+00,2.000000000000000000e+00,6.101601616809952944e+00,3.304286041111504924e-01
8.000000000000000000e+00,3.000000000000000000e+00,6.192427716628168710e+00,6.391828420627071461e-01
8.000000000000000000e+00,4.000000000000000000e+00,6.122014429903771315e+00,8.360088663583337132e-01
8.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,5.877985570096228685e+00,1.163991133641666398e+00
9.000000000000000000e+00,2.000000000000000000e+00,5.704369997013083449e+00,1.295147376629372626e+00
9.000000000000000000e+00,3.000000000000000000e+00,5.403170114168480254e+00,1.194444107003783451e+00
9.000000000000000000e+00,4.000000000000000000e+00,5.200248985686163117e+00,1.250055286782357111e+00
9.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.300000000000000044e+00
1.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,1.300000000000000044e+00
1.000000000000000000e+01,1.000000000000000000e+00,4.799751014313836883e+00,1.349944713217642978e+00
1.000000000000000000e+01,2.000000000000000000e+00,4.602174171423827786e+00,1.394222959874355183e+00
1.000000000000000000e+01,3.000000000000000000e+00,4.320235050458612669e+00,1.356952441276311205e+00
1.000000000000000000e+01,4.000000000000000000e+00,4.152257328434011185e+00,1.418514350711344685e+00
1.000000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,3.847742671565989259e+00,1.581485649288655315e+00
1.100000000000000000e+01,2.000000000000000000e+00,3.711205736722569259e+00,1.682895038430932466e+00
1.100000000000000000e+01,3.000000000000000000e+00,3.660120294547097863e+00,1.698576016142748335e+00
1.100000000000000000e+01,4.000000000000000000e+00,3.565328148243818607e+00,1.842283898505052475e+00
1.100000000000000000e+01,5.000000000000000000e+00,3.500000000000000000e+00,2.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,3.500000000000000000e+00,2.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.434671851756181393e+00,2.157716101494947303e+00
1.200000000000000000e+01,2.000000000000000000e+00,3.398807701571823436e+00,2.329440422122538212e+00
1.200000000000000000e+01,3.000000000000000000e+00,3.414235021996550934e+00,2.639388706924286954e+00
1.200000000000000000e+01,4.000000000000000000e+00,3.443229901642290258e+00,2.822850891996202094e+00
1.200000000000000000e+01,5.000000000000000000e+00,3.500000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,3.500000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,3.556770098357709742e+00,3.177149108003797906e+00
1.300000000000000000e+01,2.000000000000000000e+00,3.641315415427389901e+00,3.347985138939478578e+00
1.300000000000000000e+01,3.000000000000000000e+00,3.710040930097027623e+00,3.454691820730989793e+00
1.300000000000000000e+01,4.000000000000000000e+00,3.845127045647617425e+00,3.589200403856246169e+00
1.300000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00,3.700000000000000178e+00
1.400000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,3.700000000000000178e+00
1.400000000000000000e+01,1.000000000000000000e+00,4.154872954352382131e+00,3.810799596143754187e+00
1.400000000000000000e+01,2.000000000000000000e+00,4.329532747506556589e+00,3.897890205306005829e+00
