X,Y,psi,vx,delta,ax
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.066941738241592164e-01
2.000000000000000000e+00,0.000000000000000000e+00,-3.926990816987241395e-01,4.267766952966368654e-01,-2.261551892664307450e-01,-3.661165235168155341e-02
2.500000000000000000e+00,-5.000000000000000000e-01,-7.853981633974482790e-01,3.535533905932737864e-01,0.000000000000000000e+00,-1.368593952558339044e-02
3.000000000000000000e+00,-1.000000000000000000e+00,-7.400682197970757104e-01,3.720329371943033037e-01,3.132328187518719498e-02,2.477340120726689854e-02
3.600000000000000089e+00,-1.500000000000000000e+00,-9.381988590218308388e-02,4.526469954223413805e-01,3.096277959375870470e-01,4.121657837946135494e-02
4.500000000000000000e+00,-1.000000000000000000e+00,4.853730566965714921e-01,5.368992507121487234e-01,-1.040833587388795625e-02,9.095492654423026346e-04
5.500000000000000000e+00,-5.000000000000000000e-01,6.245228861991272140e-01,4.562851924841105911e-01,9.000543600372241937e-02,-2.753063885387796450e-02
6.000000000000000000e+00,0.000000000000000000e+00,1.178097245096172418e+00,4.267766952966368654e-01,2.261551892664307450e-01,1.368061755966329396e-02
6.000000000000000000e+00,1.000000000000000000e+00,2.210466092953411454e+00,5.110076627227637669e-01,2.918846780169309096e-01,2.229548577644155372e-02
5.000000000000000000e+00,1.300000000000000044e+00,2.897166476425919512e+00,5.159586384024030803e-01,2.343589127203406577e-02,-1.981999793662189702e-02
4.000000000000000000e+00,1.500000000000000000e+00,2.650195791966128755e+00,4.317276709762761788e-01,-1.707338276973701108e-01,-2.229548577644155372e-02
3.500000000000000000e+00,2.000000000000000000e+00,1.963495408493620697e+00,4.267766952966368654e-01,-2.261551892664307450e-01,8.332615174947377579e-03
3.500000000000000000e+00,3.000000000000000000e+00,1.260671583803485873e+00,4.650581316760656891e-01,-1.671866984011717294e-01,1.232227477554813377e-02
4.000000000000000000e+00,3.700000000000000178e+00,6.210018176449710881e-01,4.760657943988294005e-01,-1.730265506611469439e-01,1.148738276167451944e-02
5.000000000000000000e+00,4.000000000000000000e+00,1.457283972389334659e-01,5.110076627227637669e-01,-7.297261314040588698e-02,3.723355140029264987e-02
6.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.250000000000000000e-01,0.000000000000000000e+00,5.974808431930905828e-02
7.500000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00,-1.830582617584078364e-02
9.000000000000000000e+00,4.000000000000000000e+00,-3.926990816987241395e-01,5.517766952966368654e-01,-1.746736109148154525e-01,-9.911165235168155341e-02
9.500000000000000000e+00,3.500000000000000000e+00,-7.853981633974482790e-01,3.535533905932737864e-01,0.000000000000000000e+00,-3.125000000000000000e-02
1.000000000000000000e+01,3.000000000000000000e+00,-1.178097245096172418e+00,4.267766952966368654e-01,-2.261551892664307450e-01,3.661165235168155341e-02
1.000000000000000000e+01,2.000000000000000000e+00,-1.570796326794896558e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.830582617584078364e-02
1.000000000000000000e+01,1.000000000000000000e+00,-1.570796326794896558e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,-1.570796326794896558e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.000000000000000000e+00,-1.570796326794896558e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.377124296868431408e-03
1.000000000000000000e+01,-2.000000000000000000e+00,-1.802620131295299633e+00,5.295084971874737256e-01,-1.111507107118249460e-01,-1.092870187897235223e-02
9.500000000000000000e+00,-3.000000000000000000e+00,-2.195319212994023772e+00,4.562851924841105911e-01,-9.000543600372241937e-02,-2.568295047270921505e-02
9.000000000000000000e+00,-3.500000000000000000e+00,-2.748893571891068976e+00,4.267766952966368654e-01,-2.261551892664307450e-01,-1.140712981210276478e-01
8.000000000000000000e+00,-3.500000000000000000e+00,-3.143185307179586108e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.133883476483184327e-01
