segment,control_point,X,Y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.999983548946315581e-01,4.001233635411309553e-02
0.000000000000000000e+00,2.000000000000000000e+00,-5.853434643876109789e-01,7.807029337872554986e-02
0.000000000000000000e+00,3.000000000000000000e+00,-1.026709437765422894e+00,2.610052134539654969e-02
0.000000000000000000e+00,4.000000000000000000e+00,-1.277700445535056017e+00,1.005700603698587853e-01
0.000000000000000000e+00,5.000000000000000000e+00,-1.500000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,1.000000000000000000e+00,-1.722299554464943983e+00,2.994299396301412508e-01
1.000000000000000000e+00,2.000000000000000000e+00,-1.915907655625198824e+00,4.238202798659614912e-01
1.000000000000000000e+00,3.000000000000000000e+00,-1.890123435738187307e+00,6.173513918902530095e-01
1.000000000000000000e+00,4.000000000000000000e+00,-2.044822534757946286e+00,7.198425516371080857e-01
1.000000000000000000e+00,5.000000000000000000e+00,-2.200000000000000178e+00,8.000000000000000444e-01
2.000000000000000000e+00,0.000000000000000000e+00,-2.200000000000000178e+00,8.000000000000000444e-01
2.000000000000000000e+00,1.000000000000000000e+00,-2.355177465242054069e+00,8.801574483628920031e-01
2.000000000000000000e+00,2.000000000000000000e+00,-2.510833296706402873e+00,9.379811853418208445e-01
2.000000000000000000e+00,3.000000000000000000e+00,-2.677608235667994663e+00,9.195342703540332341e-01
2.000000000000000000e+00,4.000000000000000000e+00,-2.839984571539169611e+00,9.600617645044647874e-01
2.000000000000000000e+00,5.000000000000000000e+00,-3.000000000000000000e+00,1.000000000000000000e+00
