t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.008999999999999897e+00,1.008849730028103658e-01,-5.942022226216569366e-18,-1.314044776250813517e-03,-9.999945163154384808e-02,1.333744545137103069e-02,1.302510702369078909e-03,-1.737226070667236737e-04,-2.309823994642009721e-17
2.000000000000000042e-02,0.000000000000000000e+00,-1.999732567932258238e-03,2.667120816512881651e-04,3.009003861409178526e+00,1.008592507313306602e-01,9.835299328672341117e-04,-1.258256828641024418e-03,-9.997400662565758545e-02,1.333365881138401030e-02,1.242071488076700340e-03,-2.048933323133404110e-04,3.823246841595324009e-03
4.000000000000000083e-02,0.000000000000000000e+00,-3.998968290970519694e-03,5.333422155683993030e-04,3.009015403084423390e+00,1.008346397582790543e-01,1.959383969644211583e-03,-1.202914589743869648e-03,-9.994976551226802952e-02,1.332925163782823497e-02,1.182121236698048701e-03,-2.357760950989845551e-04,7.616662690486286809e-03
5.999999999999999778e-02,0.000000000000000000e+00,-5.997731149258542227e-03,7.998780486199887465e-04,3.009034560914172207e+00,1.008111311900171531e-01,2.927475028881409980e-03,-1.148016010264496902e-03,-9.992671852507684083e-02,1.332422968208348338e-02,1.122658652241935928e-03,-2.663716823693508041e-04,1.137991600325673723e-02
8.000000000000000167e-02,0.000000000000000000e+00,-7.996044927873303260e-03,1.066307342544915888e-03,3.009061270420005485e+00,1.007887161736355786e-01,3.887718581161915109e-03,-1.093559066569255774e-03,-9.990485592370548784e-02,1.331859867979059454e-02,1.063682438717172222e-03,-2.966808810701336931e-04,1.511268481270197986e-02
1.000000000000000056e-01,0.000000000000000000e+00,-9.993933217343408879e-03,1.332617973637468525e-03,3.009095466769883043e+00,1.007673858964424629e-01,4.840032642357458212e-03,-1.039541760506149971e-03,-9.988416799369521926e-02,1.331236435085150077e-02,1.005191300132568001e-03,-3.267044781470274865e-04,1.881465670273124030e-02
1.199999999999999956e-01,0.000000000000000000e+00,-1.199141941416749686e-02,1.598797932432585028e-03,3.009137084791306371e+00,1.007471315854557153e-01,5.784337765908709357e-03,-9.859621192189636438e-04,-9.986464504650716112e-02,1.330553239942923113e-02,9.471839404969345511e-04,-3.564432605457270990e-04,2.248552877997815960e-02
1.400000000000000133e-01,0.000000000000000000e+00,-1.398852672133262670e-02,1.864835323391075220e-03,3.009186058984402390e+00,1.007279445068990920e-01,6.720557034151510879e-03,-9.328181949552474470e-04,-9.984627741952230295e-02,1.329810851394789412e-02,8.896590638190825066e-04,-3.858980152119269032e-04,2.612500764218602528e-02
1.600000000000000033e-01,0.000000000000000000e+00,-1.598527814883264966e-02,2.130718364584838643e-03,3.009242323534923269e+00,1.007098159657018044e-01,7.648616048711328816e-03,-8.801080648683462602e-04,-9.982905547604127572e-02,1.329009836709266548e-02,8.326153741078218522e-04,-4.150695290913213801e-04,2.973280934343633039e-02
1.799999999999999933e-01,0.000000000000000000e+00,-1.798169651418667428e-02,2.396435387382095297e-03,3.009305812327160989e+00,1.006927373050029301e-01,8.568442919987899128e-03,-8.278298308136545049e-04,-9.981296960528482365e-02,1.328150761580984551e-02,7.760515753719643070e-04,-4.439585891296052278e-04,3.330865935628789937e-02
2.000000000000000111e-01,0.000000000000000000e+00,-1.997780444295739130e-02,2.661974836132596431e-03,3.009376458956777078e+00,1.006766999056588202e-01,9.479968255752858203e-03,-7.759816191392665714e-04,-9.979801022239320751e-02,1.327234190130678962e-02,7.199663716203199637e-04,-4.725659822724729816e-04,3.685229253089654378e-02
2.200000000000000011e-01,0.000000000000000000e+00,-2.197362436926947674e-02,2.927325267852852030e-03,3.009454196743541310e+00,1.006616951857559200e-01,1.038312514888258160e-02,-7.245615804712208716e-04,-9.978416776842666258e-02,1.326260684905194304e-02,6.643584668616996742e-04,-5.008924954656190139e-04,4.036345305118297505e-02
2.399999999999999911e-01,0.000000000000000000e+00,-2.396917853632805906e-02,3.192475351911356132e-03,3.009538958743975812e+00,1.006477146001273082e-01,1.127784916424919535e-02,-6.735678894935043758e-04,-9.977143271036537087e-02,1.325230806877485817e-02,6.092265651049145071e-04,-5.289389156547379687e-04,4.384189438811932765e-02
2.600000000000000089e-01,0.000000000000000000e+00,-2.596448899693703724e-02,3.457413869713800870e-03,3.009630677763905471e+00,1.006347496398734415e-01,1.216407832479260084e-02,-6.229987447230029250e-04,-9.975979554110911418e-02,1.324145115446614951e-02,5.545693703587750972e-04,-5.567060297855244352e-04,4.728737925020400773e-02
2.800000000000000266e-01,0.000000000000000000e+00,-2.795957761401749245e-02,3.722129714388299187e-03,3.009729286370913748e+00,1.006227918318880754e-01,1.304175309679611768e-02,-5.728523682795775120e-04,-9.974924677947756557e-02,1.323004168437751787e-02,5.003855866320913205e-04,-5.841946248036728948e-04,5.069967953119367682e-02
2.999999999999999889e-01,0.000000000000000000e+00,-2.995446606112613791e-02,3.986611890470617529e-03,3.009834716906693242e+00,1.006118327383885985e-01,1.391081637438900884e-02,-5.231270056514457497e-04,-9.973977697021027544e-02,1.321808522102177648e-02,4.466739179336752215e-04,-6.114054876548779367e-04,5.407857625516363648e-02
3.200000000000000067e-01,0.000000000000000000e+00,-3.194917582297364389e-02,4.250849513589381214e-03,3.009946901499300775e+00,1.006018639564508904e-01,1.477121346329872062e-02,-4.738209254560400490e-04,-9.973137668396664379e-02,1.320558731117280060e-02,3.934330682723369472e-04,-6.383394052848341505e-04,5.742385951896621099e-02
