segment,control_point,x,y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.142845392104510971e-01,2.858024025293792736e-02
0.000000000000000000e+00,2.000000000000000000e+00,-4.285690784209021942e-01,5.716048050587585472e-02
0.000000000000000000e+00,3.000000000000000000e+00,-6.421858487062064302e-01,9.074741612448457284e-02
0.000000000000000000e+00,4.000000000000000000e+00,-1.004455831575245206e+00,3.439540225481398789e-02
0.000000000000000000e+00,5.000000000000000000e+00,-1.175721505092973462e+00,7.295391272082368816e-02
0.000000000000000000e+00,6.000000000000000000e+00,-1.341214603953611473e+00,1.289786145498991177e-01
0.000000000000000000e+00,7.000000000000000000e+00,-1.500000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,1.000000000000000000e+00,-1.658785396046388527e+00,2.710213854501009045e-01
1.000000000000000000e+00,2.000000000000000000e+00,-1.810863089278527571e+00,3.570394545212272619e-01
1.000000000000000000e+00,3.000000000000000000e+00,-1.955297951539258339e+00,4.555846994713388942e-01
1.000000000000000000e+00,4.000000000000000000e+00,-1.881017214291881956e+00,6.039340395036163489e-01
1.000000000000000000e+00,5.000000000000000000e+00,-1.982702386417416474e+00,6.770014092313290099e-01
1.000000000000000000e+00,6.000000000000000000e+00,-2.089158953398532859e+00,7.427446797407915025e-01
1.000000000000000000e+00,7.000000000000000000e+00,-2.200000000000000178e+00,8.000000000000000444e-01
2.000000000000000000e+00,0.000000000000000000e+00,-2.200000000000000178e+00,8.000000000000000444e-01
2.000000000000000000e+00,1.000000000000000000e+00,-2.310841046601467497e+00,8.572553202592085864e-01
2.000000000000000000e+00,2.000000000000000000e+00,-2.426066572823285750e+00,9.060226902681631778e-01
2.000000000000000000e+00,3.000000000000000000e+00,-2.545289663430223115e+00,9.451382589948604807e-01
2.000000000000000000e+00,4.000000000000000000e+00,-2.657519867078764531e+00,9.127750879882965407e-01
2.000000000000000000e+00,5.000000000000000000e+00,-2.771406530770241794e+00,9.429453778635210615e-01
2.000000000000000000e+00,6.000000000000000000e+00,-2.885703265385120897e+00,9.714726889317605307e-01
2.000000000000000000e+00,7.000000000000000000e+00,-3.000000000000000000e+00,1.000000000000000000e+00
