t,segment,x,y,theta,varphi,v,omega_s,xd,yd,xdd,ydd,xddd,yddd,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.008999999999999897e+00,-0.000000000000000000e+00,1.008849730028103658e-01,-7.943793897358546185e-03,-9.999945163154384808e-02,1.333744545137103242e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.155006645358246459e-05,3.115277116417380790e-04,-0.000000000000000000e+00
2.000000000000000042e-02,0.000000000000000000e+00,-1.999988993765657291e-03,2.667493133748155077e-04,3.008999402915200516e+00,-1.489539078456828339e-04,1.008849759867456730e-01,-6.954164118821748106e-03,-9.999944662568356624e-02,1.333750555401253673e-02,3.360832432069520004e-07,5.900538088335489184e-06,-7.800867642344956994e-06,2.786098387465519503e-04,-5.790239414861401502e-04
4.000000000000000083e-02,0.000000000000000000e+00,-3.999977885717342398e-03,5.335009651868473412e-04,3.008997714751977526e+00,-2.782688668802005705e-04,1.008849967716299312e-01,-5.979879849261218218e-03,-9.999944471209264163e-02,1.333767711728356745e-02,-3.064191856531528448e-07,1.114773235781054824e-05,-5.630947320077850750e-05,2.461927873270050820e-04,-1.081706021623520669e-03
5.999999999999999778e-02,0.000000000000000000e+00,-5.999966932296425630e-03,8.002570546466006860e-04,3.008995088343732416e+00,-3.882506559697833522e-04,1.008850528769781596e-01,-5.020828883268944713e-03,-9.999946529440773002e-02,1.333794717425523108e-02,-1.910719009550054730e-06,1.575156672055334764e-05,-1.039815769366952421e-04,2.142733070614745135e-04,-1.509234890098740730e-03
8.000000000000000167e-02,0.000000000000000000e+00,-7.999956774667100340e-03,1.067019423618453030e-03,3.008991674133040473e+00,-4.792028644988000985e-04,1.008851615170909960e-01,-4.076904431837379342e-03,-9.999952744166390461e-02,1.333830295702734606e-02,-4.460144326333944371e-06,1.972196016726998863e-05,-1.508229896231622535e-04,1.828481561293795478e-04,-1.862790675138769128e-03
1.000000000000000056e-01,0.000000000000000000e+00,-9.999948432047630134e-03,1.333789660588256560e-03,3.008987620188225964e+00,-5.514269979458890540e-04,1.008853396030595512e-01,-3.148004848261532016e-03,-9.999964989061935206e-02,1.333873189543175776e-02,-7.938139289897244184e-06,2.306876693726539059e-05,-1.968395060913366210e-04,1.519141012111816977e-04,-2.143545398783351132e-03
1.199999999999999956e-01,0.000000000000000000e+00,-1.199994329508800861e-02,1.600569104605042547e-03,3.008983072219373778e+00,-6.052225780431082659e-04,1.008856037447894011e-01,-2.234033360518453918e-03,-9.999985104807339320e-02,1.333922161573902060e-02,-1.232826379133641843e-05,2.580177668846414966e-05,-2.420369052304654817e-04,1.214679174883854444e-04,-2.352663370027832657e-03
1.400000000000000133e-01,0.000000000000000000e+00,-1.399994311929387419e-02,1.867358849196885289e-03,3.008978173593807703e+00,-6.408872376464410780e-04,1.008859702530423008e-01,-1.334897810003058370e-03,-1.000001489931777870e-01,1.333975993936843164e-02,-1.761419314011379713e-05,2.793071466743134225e-05,-2.864209499878862201e-04,9.150638864353701787e-05,-2.491301556430341926e-03
1.600000000000000033e-01,0.000000000000000000e+00,-1.599995001849663367e-02,2.134159746261007906e-03,3.008973065351064236e+00,-6.587168104436200372e-04,1.008864551414950933e-01,-4.505103965056742629e-04,-1.000005614797418452e-01,1.334033488160150764e-02,-2.377971774521930089e-05,2.946524187939340652e-05,-3.299973873690256959e-04,6.202630686022557601e-05,-2.560609934762936041e-03
1.799999999999999933e-01,0.000000000000000000e+00,-1.799996645836966086e-02,2.400972409928196338e-03,3.008967886217386312e+00,-6.590054156229992839e-04,1.008870741288149381e-01,4.192125706774526921e-04,-1.000011059385317730e-01,1.334093465029891762e-02,-3.080874279633237078e-05,3.041495525825904075e-05,-3.727719484374017889e-04,3.302447282308245243e-05,-2.561731821272798717e-03
