t,x,y,theta,v,phi,phi_dot
2.000000000000000042e-02,-4.128500670921674498e+00,-1.017599732741875984e+00,-3.805068186112067208e-01,3.499988088119047047e-01,-3.238749717740041847e-05,-1.609841134901611893e-03
4.000000000000000083e-02,-4.122001388342035888e+00,-1.020199453521937638e+00,-3.805081362219432939e-01,3.499952395238438707e-01,-6.439452109632398940e-05,-1.590882943663491159e-03
5.999999999999999778e-02,-4.115502198625839547e+00,-1.022799150360036879e+00,-3.805103195881487932e-01,3.499892985458862849e-01,-9.602367421661835167e-05,-1.572053647302713289e-03
8.000000000000000167e-02,-4.109003147991884930e+00,-1.025398811256089004e+00,-3.805133584187604390e-01,3.499809922823837183e-01,-1.272775100686437293e-04,-1.553350813929721798e-03
1.000000000000000056e-01,-4.102504282513179668e+00,-1.027998424190146087e+00,-3.805172424748651805e-01,3.499703271319404285e-01,-1.581585338327755504e-04,-1.534772040338924478e-03
1.200000000000000094e-01,-4.096005648117119868e+00,-1.030597977122467590e+00,-3.805219615688589796e-01,3.499573094873821844e-01,-1.886692029073183403e-04,-1.516314951433837040e-03
1.399999999999999856e-01,-4.089507290585644661e+00,-1.033197457993593860e+00,-3.805275055636159198e-01,3.499419457357266783e-01,-2.188119274650218455e-04,-1.497977199662270604e-03
1.600000000000000033e-01,-4.083009255555412942e+00,-1.035796854724417404e+00,-3.805338643716664748e-01,3.499242422581538281e-01,-2.485890709984038397e-04,-1.479756464461352882e-03
1.799999999999999933e-01,-4.076511588517969464e+00,-1.038396155216254613e+00,-3.805410279543829932e-01,3.499042054299770776e-01,-2.780029508540637385e-04,-1.461650451712161701e-03
1.999999999999999833e-01,-4.070014334819911817e+00,-1.040995347350918809e+00,-3.805489863211755641e-01,3.498818416206146975e-01,-3.070558387561888323e-04,-1.443656893203726236e-03
2.200000000000000011e-01,-4.063517539663063616e+00,-1.043594418990791306e+00,-3.805577295286949324e-01,3.498571571935623625e-01,-3.357499613194277481e-04,-1.425773546106233773e-03
